Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\generator\node_modules\source-map\lib,10,2970,1696,1180,375,310,22,964,6381,119,748
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-annotate-as-pure,1,28,19,26,1,9,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-annotate-as-pure\lib,1,28,19,26,1,9,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-builder-binary-assignment-operator-visitor,1,47,37,39,3,10,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-builder-binary-assignment-operator-visitor\lib,1,47,37,39,3,10,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-builder-react-jsx,1,235,184,156,42,51,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-builder-react-jsx\lib,1,235,184,156,42,51,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-call-delegate,1,70,55,53,8,15,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-call-delegate\lib,1,70,55,53,8,15,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-create-class-features-plugin,6,1196,970,718,160,205,0,21,109,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-create-class-features-plugin\lib,6,1196,970,718,160,205,0,21,109,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-create-regexp-features-plugin,3,198,157,107,22,41,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-create-regexp-features-plugin\lib,3,198,157,107,22,41,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-define-map,1,143,113,103,24,30,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-define-map\lib,1,143,113,103,24,30,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-explode-assignable-expression,1,80,66,65,12,14,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-explode-assignable-expression\lib,1,80,66,65,12,14,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-function-name,1,176,141,115,33,35,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-function-name\lib,1,176,141,115,33,35,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-get-function-arity,1,26,18,25,4,8,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-get-function-arity\lib,1,26,18,25,4,8,0,0,0,0,0
